host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
gpu,CTGDA,31,cars,resnet18,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,93.91,0.282,99.84,0.041,275.6188,7.5332,7.2643,66.6879,11.2771,
gpu,CTGDA,31,cars,resnet34,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,94.07,0.283,99.82,0.036,367.733,7.5742,14.6681,76.796,21.3852,
gpu,CTGDA,31,cars,resnet50,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,94.58,0.257,99.82,0.03,478.8576,8.332,16.3934,79.3205,23.9096,
server-3090,CTGDA,31,cub,resnet18,,resnet101,cal,False,True,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,85.83,0.593,100.0,0.039,129.6921,7.5684,7.2643,66.9521,11.2791,
gpu,CTGDA,31,cub,resnet34,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,86.68,0.602,100.0,0.035,265.4676,7.6172,14.6681,77.0602,21.3873,
server-3090,CTGDA,31,cub,resnet50,,resnet101,cal,False,True,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,87.83,0.54,100.0,0.028,204.2697,7.7637,16.3934,79.5908,23.9178,
pc427-08,CTGDA,32,aircraft,resnet18,,resnet101,cal,True,True,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,93.88,0.306,100.0,0.437,1475.1142,7.9727,7.2642,60.3472,11.2278,
pc427-08,CTGDA,32,aircraft,resnet34,,resnet101,cal,True,True,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,94.39,0.343,100.0,0.349,1477.3157,8.0156,14.668,70.4553,21.336,
pc427-08,CTGDA,32,aircraft,resnet50,,resnet101,cal,True,True,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,94.9,0.318,100.0,0.297,1481.9321,9.0312,16.3932,72.8323,23.7129,
vsplab-DGX-Station-A100,CTGDA,32,cars,resnet18,,resnet101,cal,True,True,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,94.64,0.291,99.83,0.538,283.5778,5.3848,7.2643,66.6879,11.2771,
